,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
76,"#Person2#, a heavy drinker, invites #Person1#, a light drinker to go out the next day. #Person2# chooses a place that has a special on pitchers.",People are talking about how much they drink.,#Person2# drinks couple times a week and #Person1# only drinks 2 beers. #Person2# usually drinks all night long and drinks at least 10 drinks. #Person1# likes beer but gets a headache when drinking more than 3. #Person2# suggests #Person1# build up a tolerance and go out tomorrow night.,#Person1# and #Person2# are drinking a lot. #Person1# drinks at least 10 drinks and #Person2# drinks at least 10 drinks. They are going out tomorrow night.
77,#Person1# and #Person2# talk about their drinking capacity and their drinking habits. They decide to have a drink together tomorrow night.,People are talking about how much they drink.,#Person2# drinks couple times a week and #Person1# only drinks 2 beers. #Person2# usually drinks all night long and drinks at least 10 drinks. #Person1# likes beer but gets a headache when drinking more than 3. #Person2# suggests #Person1# build up a tolerance and go out tomorrow night.,#Person1# and #Person2# are drinking a lot. #Person1# drinks at least 10 drinks and #Person2# drinks at least 10 drinks. They are going out tomorrow night.
78,May is helping her mother to do some preparation for the picnic.,The weather report says it will be sunny all day.,May helps #Person1# prepare for the picnic. #Person1# asks May to help prepare the food for #Person1# and Daniel. May will take all the things to the living room and #Person1# will ask Daniel to help.,"May helps #Person1# prepare for the picnic. #Person1# wants to take some toast and chicken wings, fruit salad and crackers, and a picnic blanket. May will help #Person1# take all the things to the living room."
79,May's mother asks May for help in preparing for a picnic. May gives her a hand.,The weather report says it will be sunny all day.,May helps #Person1# prepare for the picnic. #Person1# asks May to help prepare the food for #Person1# and Daniel. May will take all the things to the living room and #Person1# will ask Daniel to help.,"May helps #Person1# prepare for the picnic. #Person1# wants to take some toast and chicken wings, fruit salad and crackers, and a picnic blanket. May will help #Person1# take all the things to the living room."
80,Mom asks May to help to prepare for the picnic and May agrees.,The weather report says it will be sunny all day.,May helps #Person1# prepare for the picnic. #Person1# asks May to help prepare the food for #Person1# and Daniel. May will take all the things to the living room and #Person1# will ask Daniel to help.,"May helps #Person1# prepare for the picnic. #Person1# wants to take some toast and chicken wings, fruit salad and crackers, and a picnic blanket. May will help #Person1# take all the things to the living room."
81,Muriel Douglas and James meet each other and talk about what they have done during the holiday.,"#Person1#: Hello, Muriel Douglas.",James and Muriel are meeting about the new account. They talk about their holiday and their skiing experience. They both enjoyed the holiday but their wife doesn't like skiing. They would like to go back sometime soon.,Muriel Douglas and James are meeting about the new account. James and Muriel have a nice holiday and they enjoyed skiing in Tahoe. James's wife doesn't like skiing and wants to go back some time soon.
82,"James and Muriel are talking while waiting for Susan, Muriel's associate. They talk about how they spent the holiday with their families.","#Person1#: Hello, Muriel Douglas.",James and Muriel are meeting about the new account. They talk about their holiday and their skiing experience. They both enjoyed the holiday but their wife doesn't like skiing. They would like to go back sometime soon.,Muriel Douglas and James are meeting about the new account. James and Muriel have a nice holiday and they enjoyed skiing in Tahoe. James's wife doesn't like skiing and wants to go back some time soon.
83,"Muriel Douglas and James send greetings and talk about their holiday before the meeting. Douglas stayed in L.A., while James went to Tahoe.","#Person1#: Hello, Muriel Douglas.",James and Muriel are meeting about the new account. They talk about their holiday and their skiing experience. They both enjoyed the holiday but their wife doesn't like skiing. They would like to go back sometime soon.,Muriel Douglas and James are meeting about the new account. James and Muriel have a nice holiday and they enjoyed skiing in Tahoe. James's wife doesn't like skiing and wants to go back some time soon.
84,"#Person1# wants to withdraw money from an ATM, but the ATM automatically transfers 10000 USD to the World Wildlife Foundation after confirming the withdrawal option. #Person1# gets mad and somehow locked in.",The ATM machine at Universal Bank is closed.,#Person1# is astonished when #Person2# tells #Person1# the machine is a Stupid girl and asks #Person1# to insert the card into the slot. #Person1# is angry and asks #Person2# to remove the card from the slot.,#Person1# is a stupid girl who has to get money from the ATM. #Person2# asks #Person1# to insert the card into the slot and type the amount to withdraw. #Person1# is satisfied with the amount and removes the card from the slot.
85,"#Person1# run out of money because of a girl, and is withdrawing money from an ATM. But the ATM seems to go wrong and transfers #Person1#'s money to the World Wildlife Foundation, driving #Person1# crazy.",The ATM machine at Universal Bank is closed.,#Person1# is astonished when #Person2# tells #Person1# the machine is a Stupid girl and asks #Person1# to insert the card into the slot. #Person1# is angry and asks #Person2# to remove the card from the slot.,#Person1# is a stupid girl who has to get money from the ATM. #Person2# asks #Person1# to insert the card into the slot and type the amount to withdraw. #Person1# is satisfied with the amount and removes the card from the slot.
86,#Person1# is withdrawing money from an ATM. But the ATM wrongly transfers #Person1#'s money to the World Wildlife Foundation. It drives #Person1# crazy.,The ATM machine at Universal Bank is closed.,#Person1# is astonished when #Person2# tells #Person1# the machine is a Stupid girl and asks #Person1# to insert the card into the slot. #Person1# is angry and asks #Person2# to remove the card from the slot.,#Person1# is a stupid girl who has to get money from the ATM. #Person2# asks #Person1# to insert the card into the slot and type the amount to withdraw. #Person1# is satisfied with the amount and removes the card from the slot.
87,#Person2# tells #Person1# #Person2#'s communication strategy.,#Person1#: I am an outgoing person who likes to be with a lot of friends.,#Person2# tells #Person1# #Person2# is an outgoing person who likes to be with a lot of friends. #Person2#'s strategy in communicating with colleagues is sincerity.,#Person1# asks #Person2# about #Person2#'s social personality and how to communicate with colleagues.
88,"Since #Person2# is very social, #Person1# asks for the communication strategy.",#Person1#: I am an outgoing person who likes to be with a lot of friends.,#Person2# tells #Person1# #Person2# is an outgoing person who likes to be with a lot of friends. #Person2#'s strategy in communicating with colleagues is sincerity.,#Person1# asks #Person2# about #Person2#'s social personality and how to communicate with colleagues.
89,#Person2# shares #Person2#'s communication strategy with #Person1#.,#Person1#: I am an outgoing person who likes to be with a lot of friends.,#Person2# tells #Person1# #Person2# is an outgoing person who likes to be with a lot of friends. #Person2#'s strategy in communicating with colleagues is sincerity.,#Person1# asks #Person2# about #Person2#'s social personality and how to communicate with colleagues.
90,Mr. Polly is tired and wants a break from work. #Person1# cannot buy a bottle of soft drink for him.,Person1 wants to buy a bottle of soft drink.,Mr. Polly wants to buy a bottle of soft drink. #Person1# refuses because his boss is in the shop now. Mr. Polly will go there himself.,Mr. Polly wants a break from the horrible job and wants to buy a bottle of soft drink. Mr. Polly will go to the shop himself.
91,"Mr. Polly wants to get a break from work and he asks #Person1# to buy a drink for him, but #Person1# refuses.",Person1 wants to buy a bottle of soft drink.,Mr. Polly wants to buy a bottle of soft drink. #Person1# refuses because his boss is in the shop now. Mr. Polly will go there himself.,Mr. Polly wants a break from the horrible job and wants to buy a bottle of soft drink. Mr. Polly will go to the shop himself.
92,"Mr. Polly asks #Person1#'s help to buy a drink, but #Person1# refuses.",Person1 wants to buy a bottle of soft drink.,Mr. Polly wants to buy a bottle of soft drink. #Person1# refuses because his boss is in the shop now. Mr. Polly will go there himself.,Mr. Polly wants a break from the horrible job and wants to buy a bottle of soft drink. Mr. Polly will go to the shop himself.
93,Francis and Monica are discussing when to work on the financial report.,"#Person1: Hi, this is Francis. #Person2: Hi, this is Monica. I'm working on a financial report. I'm available from 1 PM to 4 PM on Friday afternoon.",Monica calls Francis to ask about the time to work on the financial report. Francis will meet Monica on Friday afternoon from 1 PM to 4 PM.,Monica asks Francis to work on the financial report. Francis agrees and they will meet on Friday afternoon.
94,Francis and Monica manage to find time to work on a report together.,"#Person1: Hi, this is Francis. #Person2: Hi, this is Monica. I'm working on a financial report. I'm available from 1 PM to 4 PM on Friday afternoon.",Monica calls Francis to ask about the time to work on the financial report. Francis will meet Monica on Friday afternoon from 1 PM to 4 PM.,Monica asks Francis to work on the financial report. Francis agrees and they will meet on Friday afternoon.
95,Francis and Monica negotiate on the time to work on the report.,"#Person1: Hi, this is Francis. #Person2: Hi, this is Monica. I'm working on a financial report. I'm available from 1 PM to 4 PM on Friday afternoon.",Monica calls Francis to ask about the time to work on the financial report. Francis will meet Monica on Friday afternoon from 1 PM to 4 PM.,Monica asks Francis to work on the financial report. Francis agrees and they will meet on Friday afternoon.
96,#Person1# joins #Person2#'s interview workshop. They discuss the tips to improve their interview performance.,This is the interview class.,#Person1# is taking the interview class. #Person2# tells #Person1# some important considerations going into the interview and tells #Person1# the interviewers are as interested in #Person1#'s questions as they are in #Person1#'s answers.,#Person1# is taking the interview class to prepare for an interview. #Person2# tells #Person1# some important considerations going into the interview and some hints about what to do in an interview.
97,#Person1# takes an interview workshop. #Person2# offer #Person1# some useful tips on getting ready for an interview.,This is the interview class.,#Person1# is taking the interview class. #Person2# tells #Person1# some important considerations going into the interview and tells #Person1# the interviewers are as interested in #Person1#'s questions as they are in #Person1#'s answers.,#Person1# is taking the interview class to prepare for an interview. #Person2# tells #Person1# some important considerations going into the interview and some hints about what to do in an interview.
98,"In the workshop, #Person2# offer #Person1# some suggestions on how to perform well in interviews.",This is the interview class.,#Person1# is taking the interview class. #Person2# tells #Person1# some important considerations going into the interview and tells #Person1# the interviewers are as interested in #Person1#'s questions as they are in #Person1#'s answers.,#Person1# is taking the interview class to prepare for an interview. #Person2# tells #Person1# some important considerations going into the interview and some hints about what to do in an interview.
99,#Person1# and Mike are discussing what kind of emotion should be expressed by Mike in this play. They have different understandings.,The cut is over.,"Mike and Laura are talking about Jason's reaction to Laura's boyfriend. Mike thinks Jason would react the way most guys would and later on, they would see his real feelings. They will try it his way.",Mike wants to get more anger from Mike because he's acting hurt and sad. Mike thinks Jason's reaction would be one of anger and sadness and he'll try it his way.
100,#Person1# and Mike have a disagreement on how to act out a scene. #Person1# proposes that Mike can try to act in #Person1#'s way.,The cut is over.,"Mike and Laura are talking about Jason's reaction to Laura's boyfriend. Mike thinks Jason would react the way most guys would and later on, they would see his real feelings. They will try it his way.",Mike wants to get more anger from Mike because he's acting hurt and sad. Mike thinks Jason's reaction would be one of anger and sadness and he'll try it his way.
101,"#Person1# wants Mike to act more angry, but Mike thinks he should act both angry and sad.",The cut is over.,"Mike and Laura are talking about Jason's reaction to Laura's boyfriend. Mike thinks Jason would react the way most guys would and later on, they would see his real feelings. They will try it his way.",Mike wants to get more anger from Mike because he's acting hurt and sad. Mike thinks Jason's reaction would be one of anger and sadness and he'll try it his way.
102,#Person1# greets Mrs. Todd and then they say goodbye to each other.,Jane and Jane are going shopping at the weekend.,Mrs. Todd comes to visit #Person1# because #Person1#'s wife is waiting for #Person1# to take her shopping. #Person1# tells Mrs. Todd that #Person1# came to visit her in the garden and she's glad to have met her.,Mrs. Todd invites Jane to visit her. Jane and Mrs. Todd have been talking about visiting her. Jane and Mrs. Todd came over and said hello.
103,"#Person1# comes over to say hello to Mrs. Todd, and will go shopping afterwards.",Jane and Jane are going shopping at the weekend.,Mrs. Todd comes to visit #Person1# because #Person1#'s wife is waiting for #Person1# to take her shopping. #Person1# tells Mrs. Todd that #Person1# came to visit her in the garden and she's glad to have met her.,Mrs. Todd invites Jane to visit her. Jane and Mrs. Todd have been talking about visiting her. Jane and Mrs. Todd came over and said hello.
104,"#Person1# visits Mrs. Todd, and Mrs. Todd appreciates that.",Jane and Jane are going shopping at the weekend.,Mrs. Todd comes to visit #Person1# because #Person1#'s wife is waiting for #Person1# to take her shopping. #Person1# tells Mrs. Todd that #Person1# came to visit her in the garden and she's glad to have met her.,Mrs. Todd invites Jane to visit her. Jane and Mrs. Todd have been talking about visiting her. Jane and Mrs. Todd came over and said hello.
105,Bill is tired. Bill and #Person1# talk about Bill's brother.,"#Person1#: Oh, I'm tired. #Person2#: Oh, I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired.",Bill is tired because he has been working until around ten every night this week. #Person1# asks Bill to go home at quitting time today and take it easy. Bill's brother is busy but he won't come back for several more weeks. #Person1# wants to be sure of the time because #Person1#'s going to meet a friend at five o'clock sharp.,Bill is tired and wants to go home at quitting time today. #Person1# asks Bill to take it easy and asks him to take it easy. Bill's brother is busy and he won't come back for several more weeks. Bill sets his watch to 4:30 and will meet a friend at five o'clock sharp.
106,"#Person1# has a chat with Bill, and learns updates about Bill and his brother. #Person1# asks for time because #Person1# will go meet a friend.","#Person1#: Oh, I'm tired. #Person2#: Oh, I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired.",Bill is tired because he has been working until around ten every night this week. #Person1# asks Bill to go home at quitting time today and take it easy. Bill's brother is busy but he won't come back for several more weeks. #Person1# wants to be sure of the time because #Person1#'s going to meet a friend at five o'clock sharp.,Bill is tired and wants to go home at quitting time today. #Person1# asks Bill to take it easy and asks him to take it easy. Bill's brother is busy and he won't come back for several more weeks. Bill sets his watch to 4:30 and will meet a friend at five o'clock sharp.
107,#Person1# suggests Bill take it easy and asks him about his brother. #Person1# also synchronizes the time with Bill.,"#Person1#: Oh, I'm tired. #Person2#: Oh, I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired. #Person2#: I'm tired. #Person1#: I'm tired.",Bill is tired because he has been working until around ten every night this week. #Person1# asks Bill to go home at quitting time today and take it easy. Bill's brother is busy but he won't come back for several more weeks. #Person1# wants to be sure of the time because #Person1#'s going to meet a friend at five o'clock sharp.,Bill is tired and wants to go home at quitting time today. #Person1# asks Bill to take it easy and asks him to take it easy. Bill's brother is busy and he won't come back for several more weeks. Bill sets his watch to 4:30 and will meet a friend at five o'clock sharp.
108,"Simon and Cleo have different opinions towards the demonstration to help stop the spread of nuclear weapons. Cleo thinks it is useless, while Simon considers that Cleo should go to the demonstration.",Cleo will be at the demonstration tomorrow to help stop the spread of nuclear weapons.,Cleo hates demonstrations because there are two sides to every story. Simon thinks it is important to stand up for what Cleo believes in and suggests Cleo ask the students in his political science class if they want to go. Cleo agrees.,Cleo hates demonstrations because North Korea boasts it has nuclear weapons. Simon doesn't want to go to a demonstration because he wants to study for his physics exam. Cleo suggests asking the students in his political science class if they want to go. Simon agrees.
109,"Cleo has no intention to attend the demonstration to help stop the spread of nuclear weapons, because Cleo hates police standing by with tear gas. Simon tries to change Cleo's mind but it doesn't work.",Cleo will be at the demonstration tomorrow to help stop the spread of nuclear weapons.,Cleo hates demonstrations because there are two sides to every story. Simon thinks it is important to stand up for what Cleo believes in and suggests Cleo ask the students in his political science class if they want to go. Cleo agrees.,Cleo hates demonstrations because North Korea boasts it has nuclear weapons. Simon doesn't want to go to a demonstration because he wants to study for his physics exam. Cleo suggests asking the students in his political science class if they want to go. Simon agrees.
110,"Simon and Cleo argue the effectiveness of demonstrations. Simon thinks they are helpful, but Cleo disagrees and refuses to go to the demonstration of helping stop the spread of nuclear weapons with Simon.",Cleo will be at the demonstration tomorrow to help stop the spread of nuclear weapons.,Cleo hates demonstrations because there are two sides to every story. Simon thinks it is important to stand up for what Cleo believes in and suggests Cleo ask the students in his political science class if they want to go. Cleo agrees.,Cleo hates demonstrations because North Korea boasts it has nuclear weapons. Simon doesn't want to go to a demonstration because he wants to study for his physics exam. Cleo suggests asking the students in his political science class if they want to go. Simon agrees.
111,#Person2# let in someone and #Person1# thinks it was #Person2#'s fault.,"If you're expecting someone to come in, don't let him in.",#Person1# and #Person2# are talking about the danger of letting in someone like that.,#Person1# tells #Person2# that #Person1# should never let in someone like that unless you're expecting him.
112,#Person1# blames #Person2# for letting someone in without much discretion.,"If you're expecting someone to come in, don't let him in.",#Person1# and #Person2# are talking about the danger of letting in someone like that.,#Person1# tells #Person2# that #Person1# should never let in someone like that unless you're expecting him.
113,#Person1# advises #Person2# not to let anyone in casually.,"If you're expecting someone to come in, don't let him in.",#Person1# and #Person2# are talking about the danger of letting in someone like that.,#Person1# tells #Person2# that #Person1# should never let in someone like that unless you're expecting him.
114,Mark wants to borrow Maggie's class notes. Maggie suggests Mark copy them in the library and invites him to be study partners.,#Person1#: I need your notes for history.,Mark wants Maggie's notes for history but Maggie refuses because Maggie usually goes to the cafeteria and review them. Maggie suggests borrowing her notes in the library and they will start today in the library.,Mark borrows Maggie's notes for history because he works in supermarket. Maggie asks Mark to borrow her notes because she's tired and she needs someone to study with. Mark agrees and they will start today in the library.
115,Mark asks Maggie for her history notes because Mark has been too tired in class. They become study partners at the end.,#Person1#: I need your notes for history.,Mark wants Maggie's notes for history but Maggie refuses because Maggie usually goes to the cafeteria and review them. Maggie suggests borrowing her notes in the library and they will start today in the library.,Mark borrows Maggie's notes for history because he works in supermarket. Maggie asks Mark to borrow her notes because she's tired and she needs someone to study with. Mark agrees and they will start today in the library.
116,Mark asks Maggie for her notes because Mark's notes aren't good. They decide to be study partners and study together.,#Person1#: I need your notes for history.,Mark wants Maggie's notes for history but Maggie refuses because Maggie usually goes to the cafeteria and review them. Maggie suggests borrowing her notes in the library and they will start today in the library.,Mark borrows Maggie's notes for history because he works in supermarket. Maggie asks Mark to borrow her notes because she's tired and she needs someone to study with. Mark agrees and they will start today in the library.
117,#Person2# wants to take a course of Professor Turner and Professor agrees if #Person2# achieves the allowance of Professor Burman.,Person1 is giving Advanced Geology next semester.,#Person2# wants to enroll in the Advanced Geology course. Professor Turner tells #Person2# that #Person2# is only a junior and #Person2# wants to learn something. #Person1# will speak to Professor Burman if he thinks #Person2# is ready.,#Person1# is giving the Advanced Geology course again next semester. #Person2# wants to learn something and asks Professor Turner to let #Person2# enroll.
118,"#Person2#, a junior student, wants to enroll in Professor Turner's course for seniors very much. Professor Turner will ask for another professor's opinion.",Person1 is giving Advanced Geology next semester.,#Person2# wants to enroll in the Advanced Geology course. Professor Turner tells #Person2# that #Person2# is only a junior and #Person2# wants to learn something. #Person1# will speak to Professor Burman if he thinks #Person2# is ready.,#Person1# is giving the Advanced Geology course again next semester. #Person2# wants to learn something and asks Professor Turner to let #Person2# enroll.
119,"#Person2# wants to enroll in Professor Turner's course, and Professor Turner agrees to consider his application.",Person1 is giving Advanced Geology next semester.,#Person2# wants to enroll in the Advanced Geology course. Professor Turner tells #Person2# that #Person2# is only a junior and #Person2# wants to learn something. #Person1# will speak to Professor Burman if he thinks #Person2# is ready.,#Person1# is giving the Advanced Geology course again next semester. #Person2# wants to learn something and asks Professor Turner to let #Person2# enroll.
120,#Person1# wants to change the broken pendant in #Person2#'s shop.,The pendant is broken.,#Person1# bought a broken pendant in #Person2#'s shop. #Person2# will replace it with a new one by 10 o'clock.,#Person1# bought a broken pendant in #Person2#'s shop. #Person2# will replace it with a new one by 10 o'clock.
121,#Person1# goes back to #Person2#'s shop to replace a broken pendant.,The pendant is broken.,#Person1# bought a broken pendant in #Person2#'s shop. #Person2# will replace it with a new one by 10 o'clock.,#Person1# bought a broken pendant in #Person2#'s shop. #Person2# will replace it with a new one by 10 o'clock.
122,"#Person1# wants a product changed from #Person2#, and #Person2# agrees.",The pendant is broken.,#Person1# bought a broken pendant in #Person2#'s shop. #Person2# will replace it with a new one by 10 o'clock.,#Person1# bought a broken pendant in #Person2#'s shop. #Person2# will replace it with a new one by 10 o'clock.
123,"#Person1# is showing the new clothes to #Person2#, but #Person2# is busy watching the games. They quarrel and get angry.",The sales are over.,#Person1# is watching the Boxing Day sales and #Person2# is blabbering on about #Person1#'s new clothes. #Person1# wants to exchange the gifts and #Person2# suggests #Person1# return all of the stupid clothes and not come back until the sales are over.,#Person1# is watching the game and #Person2# is yapping on about the new clothes. #Person1# wants to return all of the stupid clothes and not come back until the sales are over.
124,#Person1# and #Person2# have a serious quarrel over whether shopping for clothes or watching a sports game is more important.,The sales are over.,#Person1# is watching the Boxing Day sales and #Person2# is blabbering on about #Person1#'s new clothes. #Person1# wants to exchange the gifts and #Person2# suggests #Person1# return all of the stupid clothes and not come back until the sales are over.,#Person1# is watching the game and #Person2# is yapping on about the new clothes. #Person1# wants to return all of the stupid clothes and not come back until the sales are over.
125,"#Person1# asks #Person2#'s opinion on new clothes, but #Person2# only focuses on the game and feels annoyed. They are both angry and argue.",The sales are over.,#Person1# is watching the Boxing Day sales and #Person2# is blabbering on about #Person1#'s new clothes. #Person1# wants to exchange the gifts and #Person2# suggests #Person1# return all of the stupid clothes and not come back until the sales are over.,#Person1# is watching the game and #Person2# is yapping on about the new clothes. #Person1# wants to return all of the stupid clothes and not come back until the sales are over.
126,#Person1# gives suggestions on job choices to #Person2#. #Person2# likes interactive media.,#Person1#: I'd like to work in the media.,#Person2# wants to work in the media. #Person1# suggests #Person2# become a TV news director but #Person2# prefers working with computers.,"#Person1# asks #Person2# about the jobs to choose from. #Person2# thinks working in the media could be fun, but #Person2# prefers working with computers."
127,#Person1# and #Person2# are looking at jobs. #Person2# is interested in the media industry.,#Person1#: I'd like to work in the media.,#Person2# wants to work in the media. #Person1# suggests #Person2# become a TV news director but #Person2# prefers working with computers.,"#Person1# asks #Person2# about the jobs to choose from. #Person2# thinks working in the media could be fun, but #Person2# prefers working with computers."
128,"#Person1# offers some job choices to #Person2#, but #Person2# doesn't like them.",#Person1#: I'd like to work in the media.,#Person2# wants to work in the media. #Person1# suggests #Person2# become a TV news director but #Person2# prefers working with computers.,"#Person1# asks #Person2# about the jobs to choose from. #Person2# thinks working in the media could be fun, but #Person2# prefers working with computers."
129,#Person2# feels bored with the meeting. #Person1# gives #Person2# some suggestions on how to entertain but finally asks #Person2# to keep quiet.,#Person1#: I'm bored.,#Person2# is bored because there are boring people giving boring speeches. #Person1# suggests #Person2# bring some old newspapers and some crossword puzzles to keep #Person2# busy. #Person2# hates crosswords and #Person1# thinks #Person2# should pay attention to the head of the charity organization.,#Person1# tells #Person2# #Person2# is bored and #Person2# has to entertain himself. #Person1# suggests #Person2# bring some old newspapers and some comic sections. #Person2# hates crosswords and #Person1# thinks #Person2# should pay attention to the head of the charity organization.
130,"#Person1#, a reporter, takes #Person2# to a forum. #Person2# is bored and tries to find a pastime.",#Person1#: I'm bored.,#Person2# is bored because there are boring people giving boring speeches. #Person1# suggests #Person2# bring some old newspapers and some crossword puzzles to keep #Person2# busy. #Person2# hates crosswords and #Person1# thinks #Person2# should pay attention to the head of the charity organization.,#Person1# tells #Person2# #Person2# is bored and #Person2# has to entertain himself. #Person1# suggests #Person2# bring some old newspapers and some comic sections. #Person2# hates crosswords and #Person1# thinks #Person2# should pay attention to the head of the charity organization.
131,"#Person2# tells #Person1# that #Person2# is bored and explains the reasons, so #Person1# suggests #Person2# read some old newspapers and be quiet.",#Person1#: I'm bored.,#Person2# is bored because there are boring people giving boring speeches. #Person1# suggests #Person2# bring some old newspapers and some crossword puzzles to keep #Person2# busy. #Person2# hates crosswords and #Person1# thinks #Person2# should pay attention to the head of the charity organization.,#Person1# tells #Person2# #Person2# is bored and #Person2# has to entertain himself. #Person1# suggests #Person2# bring some old newspapers and some comic sections. #Person2# hates crosswords and #Person1# thinks #Person2# should pay attention to the head of the charity organization.
132,Sarah is considering moving. #Person1# gives her advice on buying a house.,"Buying a house near our company can be expensive, but there are ways to find cheaper houses.",Sarah can't afford moving to a house near her company. #Person1# suggests buying a house far away from the city center and Sarah's sister in law and husband bought a house. The house is in good condition and the neighbors watch out for each other.,Sarah tells #Person1# that she can't afford moving to a house near her company because she can't afford it. #Person1# suggests buying a house far away from the city center. Sarah's sister in law and her husband bought a house that was about 50 years old and the area can be rough in the evening.
133,Sarah wants to move. #Person1# suggests buying a cheaper house and offers information on possible options.,"Buying a house near our company can be expensive, but there are ways to find cheaper houses.",Sarah can't afford moving to a house near her company. #Person1# suggests buying a house far away from the city center and Sarah's sister in law and husband bought a house. The house is in good condition and the neighbors watch out for each other.,Sarah tells #Person1# that she can't afford moving to a house near her company because she can't afford it. #Person1# suggests buying a house far away from the city center. Sarah's sister in law and her husband bought a house that was about 50 years old and the area can be rough in the evening.
134,Sarah tells #Person1# that she can't afford a new house. #Person1# says #Person1#'s sister-in-law bought a cheap house and suggests Sarah should buy a house far from the city center.,"Buying a house near our company can be expensive, but there are ways to find cheaper houses.",Sarah can't afford moving to a house near her company. #Person1# suggests buying a house far away from the city center and Sarah's sister in law and husband bought a house. The house is in good condition and the neighbors watch out for each other.,Sarah tells #Person1# that she can't afford moving to a house near her company because she can't afford it. #Person1# suggests buying a house far away from the city center. Sarah's sister in law and her husband bought a house that was about 50 years old and the area can be rough in the evening.
135,#Person1# introduces Mark Leach to this week's People You Meet. Mark Leach describes his job responsibilities and gives advice to people coming to Britain.,Mark Leach is an information officer at the Britain Business Center in London. He works with a team of 10 officers who give tourist information directly over the counter to visitors.,Mark Leach is an information officer at the Britain Business Center. Mark is in charge of an information team and he tells #Person1# about his job as an information officer. Mark also tells #Person1# about his job as an information officer and his suggestions for people coming to Britain.,Mark Leach is an information officer in London. He is in charge of an information team and he is in charge of an information team. He talks about how he manages to meet the needs of a large number of people. He also talks about how he manages to meet the needs of a large number of people. He also talks about how he manages to meet the needs of a large number of people.
136,"#Person1# hosts the week's People You Meet, featuring Mark Leach. Mark introduces his work as an information officer in London.",Mark Leach is an information officer at the Britain Business Center in London. He works with a team of 10 officers who give tourist information directly over the counter to visitors.,Mark Leach is an information officer at the Britain Business Center. Mark is in charge of an information team and he tells #Person1# about his job as an information officer. Mark also tells #Person1# about his job as an information officer and his suggestions for people coming to Britain.,Mark Leach is an information officer in London. He is in charge of an information team and he is in charge of an information team. He talks about how he manages to meet the needs of a large number of people. He also talks about how he manages to meet the needs of a large number of people. He also talks about how he manages to meet the needs of a large number of people.
137,Mark Leach introduces his information service and his work to the audience. He also offers suggestions for people coming to Britain.,Mark Leach is an information officer at the Britain Business Center in London. He works with a team of 10 officers who give tourist information directly over the counter to visitors.,Mark Leach is an information officer at the Britain Business Center. Mark is in charge of an information team and he tells #Person1# about his job as an information officer. Mark also tells #Person1# about his job as an information officer and his suggestions for people coming to Britain.,Mark Leach is an information officer in London. He is in charge of an information team and he is in charge of an information team. He talks about how he manages to meet the needs of a large number of people. He also talks about how he manages to meet the needs of a large number of people. He also talks about how he manages to meet the needs of a large number of people.
138,Lin Fang and Lucy are talking about their favourite subjects.,Lin Fang is Lin Fang's teacher.,Lin Fang and Lucy are talking about their favorite subjects. Lin Fang likes English and Nancy likes math. Lin Fang likes Chinese and science while Lucy likes Chinese and science.,Lin Fang and Lucy are talking about the next lesson. Lin Fang's favorite subject is English and Lucy's favorite subject is math. Lin Fang's favorite subject is Chinese and Lucy's favorite subject is science.
139,Lin Fang and Lucy are talking about how they like different subjects.,Lin Fang is Lin Fang's teacher.,Lin Fang and Lucy are talking about their favorite subjects. Lin Fang likes English and Nancy likes math. Lin Fang likes Chinese and science while Lucy likes Chinese and science.,Lin Fang and Lucy are talking about the next lesson. Lin Fang's favorite subject is English and Lucy's favorite subject is math. Lin Fang's favorite subject is Chinese and Lucy's favorite subject is science.
140,"Lucy likes English and P.E. best, but Lin Fang's favorite is Chinese and Science.",Lin Fang is Lin Fang's teacher.,Lin Fang and Lucy are talking about their favorite subjects. Lin Fang likes English and Nancy likes math. Lin Fang likes Chinese and science while Lucy likes Chinese and science.,Lin Fang and Lucy are talking about the next lesson. Lin Fang's favorite subject is English and Lucy's favorite subject is math. Lin Fang's favorite subject is Chinese and Lucy's favorite subject is science.
141,James comes to help Mrs. Thomas to do some housework on the weekend. James is saving up to buy a bike.,James will come over to your house on Saturdays to help you with your housework.,"James helps Mrs Thomas with cleaning up the leaves in the yard, taking out the garbage, and taking her dog Oscar for a walk. Mrs Thomas appreciates the weekend work and will buy a bike after she gets her bike.",James helped Mrs Thomas clean up the leaves in the yard and take Oscar for a walk. James also helps with the housework and is saving up for a bike.
